StartTime: 2025-07-11 13:38:27
Timestamp;W;A;D;Space;HP;Death;EnemiesVisible;Checkpoint;X;Y
0,00;0;0;0;0;85;0;0;0;-8,00;-5,55
0,00;0;0;0;0;85;0;0;0;-8,00;-5,55
0,02;0;0;0;0;85;0;0;0;-8,00;-5,56
0,04;0;0;0;0;85;0;0;0;-8,00;-5,59
0,05;0;0;0;0;85;0;0;0;-8,00;-5,63
0,07;0;0;0;0;85;0;0;0;-8,00;-5,69
0,09;0;0;0;0;85;0;0;0;-8,00;-5,76
0,10;0;0;0;0;85;0;0;0;-8,00;-5,84
0,12;0;0;0;0;85;0;0;0;-8,00;-5,84
0,14;0;0;0;0;85;0;0;0;-8,00;-5,93
0,15;0;0;0;0;85;0;0;0;-8,00;-6,04
0,17;0;0;0;0;85;0;0;0;-8,00;-6,17
0,19;0;0;0;0;85;0;0;0;-8,00;-6,18
0,20;0;0;0;0;85;0;0;0;-8,00;-6,18
0,22;0;0;0;0;85;0;0;0;-8,00;-6,18
0,24;0;0;0;0;85;0;0;0;-8,00;-6,18
0,25;0;0;0;0;85;0;0;0;-8,00;-6,18
0,27;0;0;0;0;85;0;0;0;-8,00;-6,18
0,29;0;0;0;0;85;0;0;0;-8,00;-6,18
0,30;0;0;0;0;85;0;0;0;-8,00;-6,18
0,32;0;0;0;0;85;0;0;0;-8,00;-6,18
0,34;0;0;0;0;85;0;0;0;-8,00;-6,18
0,35;0;0;0;0;85;0;0;0;-8,00;-6,18
0,37;0;0;0;0;85;0;0;0;-8,00;-6,18
0,39;0;0;0;0;85;0;0;0;-8,00;-6,18
0,40;0;0;0;0;85;0;0;0;-8,00;-6,18
0,42;0;0;0;0;85;0;0;0;-8,00;-6,18
0,44;0;0;0;0;85;0;0;0;-8,00;-6,18
0,45;0;0;0;0;85;0;0;0;-8,00;-6,18
0,47;0;0;0;0;85;0;0;0;-8,00;-6,18
0,49;0;0;0;0;85;0;0;0;-8,00;-6,18
0,50;0;0;0;0;85;0;0;0;-8,00;-6,18
0,52;0;0;0;0;85;0;0;0;-8,00;-6,18
0,54;0;0;0;0;85;0;0;0;-8,00;-6,18
0,55;0;0;0;0;85;0;0;0;-8,00;-6,18
0,57;0;0;0;0;85;0;0;0;-8,00;-6,18
0,59;0;0;0;0;85;0;0;0;-8,00;-6,18
0,60;0;0;0;0;85;0;0;0;-8,00;-6,18
0,62;0;0;0;0;85;0;0;0;-8,00;-6,18
0,64;0;0;0;0;85;0;0;0;-8,00;-6,18
0,65;0;0;0;0;85;0;0;0;-8,00;-6,18
0,67;0;0;0;0;85;0;0;0;-8,00;-6,18
0,68;0;0;0;0;85;0;0;0;-8,00;-6,18
0,70;0;0;0;0;85;0;0;0;-8,00;-6,18
0,72;0;0;0;0;85;0;0;0;-8,00;-6,18
0,73;0;0;0;0;85;0;0;0;-8,00;-6,18
0,75;0;0;0;0;85;0;0;0;-8,00;-6,18
0,77;0;0;0;0;85;0;0;0;-8,00;-6,18
0,78;0;0;0;0;85;0;0;0;-8,00;-6,18
0,80;0;0;0;0;85;0;0;0;-8,00;-6,18
0,82;0;0;0;0;85;0;0;0;-8,00;-6,18
0,83;0;0;0;0;85;0;0;0;-8,00;-6,18
0,85;0;0;0;0;85;0;0;0;-8,00;-6,18
0,87;0;0;0;0;85;0;0;0;-8,00;-6,18
0,88;0;0;0;0;85;0;0;0;-8,00;-6,18
0,90;0;0;0;0;85;0;0;0;-8,00;-6,18
0,92;0;0;0;0;85;0;0;0;-8,00;-6,18
0,93;0;0;0;0;85;0;0;0;-8,00;-6,18
0,95;0;0;0;0;85;0;0;0;-8,00;-6,18
0,97;0;0;0;0;85;0;0;0;-8,00;-6,18
0,98;0;0;0;0;85;0;0;0;-8,00;-6,18
1,00;0;0;0;0;85;0;0;0;-8,00;-6,18
1,02;0;0;0;0;85;0;0;0;-8,00;-6,18
1,03;0;0;0;0;85;0;0;0;-8,00;-6,18
1,05;0;0;0;0;85;0;0;0;-8,00;-6,18
1,07;0;0;0;0;85;0;0;0;-8,00;-6,18
1,08;0;0;0;0;85;0;0;0;-8,00;-6,18
1,10;0;0;0;0;85;0;0;0;-8,00;-6,18
1,12;0;0;0;0;85;0;0;0;-8,00;-6,18
1,13;0;0;0;0;85;0;0;0;-8,00;-6,18
1,15;0;0;0;0;85;0;0;0;-8,00;-6,18
1,17;0;0;0;0;85;0;0;0;-8,00;-6,18
1,18;0;0;0;0;85;0;0;0;-8,00;-6,18
1,20;0;0;0;0;85;0;0;0;-8,00;-6,18
1,22;0;0;0;0;85;0;0;0;-8,00;-6,18
1,23;0;0;0;0;85;0;0;0;-8,00;-6,18
1,25;0;0;0;0;85;0;0;0;-8,00;-6,18
1,27;0;0;0;0;85;0;0;0;-8,00;-6,18
1,28;0;0;0;0;85;0;0;0;-8,00;-6,18
1,30;0;0;0;0;85;0;0;0;-8,00;-6,18
1,32;0;0;0;0;85;0;0;0;-8,00;-6,18
1,33;0;0;0;0;85;0;0;0;-8,00;-6,18
1,35;0;0;0;0;85;0;0;0;-8,00;-6,18
1,37;0;0;0;0;85;0;0;0;-8,00;-6,18
1,38;0;0;0;0;85;0;0;0;-8,00;-6,18
1,40;0;0;0;0;85;0;0;0;-8,00;-6,18
